,job_no,roles,companies,locations,experience,salaries,skills
0,1,backend developer,startuped,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-3 yrs,not disclosed,"iis,data management,coding,project management,web development,agile,data structures,apache"
1,2,backend developer,ibm,bengaluru,3-5 yrs,not disclosed,"python,rdbms,system automation,postgresql,software engineering,linux system administration,rest,gateways"
2,3,backend developer,terralogic software solutions,"chennai, bengaluru",15-25 yrs,not disclosed,"core java,backend,multithreading,soa,memory management,eclipse,mysql,scrum"
3,4,.net backend developer,infobeans,"indore, pune",5-10 yrs,not disclosed,".net,sql azure,azure data lake,.net core,web technologies,power bi,data structures,web api"
4,5,backend developer,agiro digital services,remote,6-10 yrs,15-30 lacs pa,"c#,.net,aws,backend,backend development,development"
5,6,backend developer,tecqubes technologies,chennai,1-3 yrs,not disclosed,",spring security,spring data,springboot,nosql,backend,backend development,spring boot"
6,7,backend developer,nao medical,new delhi,0-3 yrs,not disclosed,"computer science,backend,front end,mysql,web development,javascript,healthcare,windows"
7,8,salesforceprincipal backend developer,medtronic,pune,2-4 yrs,not disclosed,"salesforce,agilejavascript frameworks,devops,service cloud,marketing cloud,framework,backend,cloud"
8,9,backend developer,automate infinities,hyderabad,1-3 yrs,not disclosed,"web application architecture,dbms,ajax,jquery,sql,database design,java,git"
9,10,backend developers,alp consulting,bengaluru,2-4 yrs,not disclosed,"algorithms,java,spring microservices,ci/cd,data structures,agile,cd,spring"
10,11,backend developer,ibm,bengaluru,2-7 yrs,not disclosed,"golang,docker,system administration,git,container orchestration,continuous integration,kubernetes,qemu"
11,12,backend developer,ibm,ahmedabad,6-11 yrs,not disclosed,"software development,performance improvement,jmeter,grafana,data structures,kubernetes,algorithms,rest"
12,13,backend developer,ibm,ahmedabad,3-8 yrs,not disclosed,"algorithms,enterprise structure,software development,asynchronous,data structures,kubernetes,rest,python"
13,14,backend developer,ibm,bengaluru,6-10 yrs,not disclosed,"microservices,java,git,j2ee,agile,continuous integration,kubernetes,jsp"
14,15,backend developer,ibm,bengaluru,5-8 yrs,not disclosed,"rest,python,network routing,golang,routing protocols,tcp,iptables,kubernetes"
15,16,backend developer,ibm,bengaluru,4-9 yrs,not disclosed,"swagger,java,typescript,software development,relational databases,css,software quality,spring"
16,17,backend developer,ibm,bengaluru,8-13 yrs,not disclosed,"golang,python,software development,php,iaas,css,c++,jquery"
17,18,backend developer,ibm,bengaluru,2-7 yrs,not disclosed,"backend development,continuous integration,kubernetes,golang,qemu,smb,ci/cd,docker"
18,19,backend developer,ibm,bengaluru,2-7 yrs,not disclosed,"docker,system administration,git,cloud storage,container orchestration,continuous integration,kubernetes,golang"
19,20,backend developer,ibm,ahmedabad,1-3 yrs,not disclosed,"algorithms,enterprise structure,asynchronous,data structures,software development,css,web application,vue.js"
20,21,backend developer,startuped,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-3 yrs,not disclosed,"iis,data management,coding,project management,web development,agile,data structures,apache"
21,22,backend developer,ibm,bengaluru,3-5 yrs,not disclosed,"python,rdbms,system automation,postgresql,software engineering,linux system administration,rest,gateways"
22,23,backend developer,terralogic software solutions,"chennai, bengaluru",15-25 yrs,not disclosed,"core java,backend,multithreading,soa,memory management,eclipse,mysql,scrum"
23,24,.net backend developer,infobeans,"indore, pune",5-10 yrs,not disclosed,".net,sql azure,azure data lake,.net core,web technologies,power bi,data structures,web api"
